Index,Status,Sats,RTC.date,RTC.time,FIX.date,FIX.time,Delta.s.,Latitude,Longitude,Altitude.m.,HDOP,eRes,Temperature.C.,Voltage.V.
1,NotEnoughSats,0/0,23/02/18,21:00:13,0.270,22.5,3.75,NA,NA,NA,NA,NA,NA,NA
2,NotEnoughSats,0/0,23/02/18,21:30:13,0.620,22.0,3.75,NA,NA,NA,NA,NA,NA,NA
3,NotEnoughSats,0/1,23/02/18,22:00:22,0.970,22.5,3.75,NA,NA,NA,NA,NA,NA,NA
4,NotEnoughSats,0/0,23/02/18,22:30:13,1.310,21.5,3.75,NA,NA,NA,NA,NA,NA,NA
5,NotEnoughSats,0/0,23/02/18,23:00:13,1.650,21.5,3.75,NA,NA,NA,NA,NA,NA,NA
6,Valid,6/6,23/02/18,23:30:13,23/02/18,23:30:14.971,1.971,37.71146,-89.24041,116.85,3.3,1.1,15.5,3.75
7,Valid,7/7,23/02/19,00:00:09,23/02/19,00:00:10.673,1.673,37.73279,-89.19606,52.85,1.6,6.3,12.5,3.75
8,Valid,8/8,23/02/19,00:30:10,23/02/19,00:30:11.693,1.693,37.71721,-89.1947,90.64,1,5.1,11.5,3.75
9,Valid,6/6,23/02/19,01:00:07,23/02/19,01:00:08.495,1.495,37.71606,-89.19614,144.73,15,2,11.5,3.75
10,Valid,7/7,23/02/19,01:30:07,23/02/19,01:30:08.741,1.741,37.71722,-89.19462,104.97,1.3,1,11.5,3.75
11,Valid,6/6,23/02/19,02:00:09,23/02/19,02:00:10.762,1.762,37.71727,-89.19476,104.49,1.3,0.7,11.5,3.75
12,Valid,6/6,23/02/19,02:30:09,23/02/19,02:30:10.787,1.787,37.71717,-89.19477,105.98,1.5,1.4,11,3.75
13,Valid,6/6,23/02/19,03:00:10,23/02/19,03:00:11.788,1.788,37.71721,-89.19479,114.99,2.1,1.4,11,3.75
14,Valid,7/7,23/02/19,03:30:11,23/02/19,03:30:13.208,2.208,37.71718,-89.19466,103.35,1.1,0.8,10.5,3.75
15,Valid,7/7,23/02/19,04:00:05,23/02/19,04:00:06.851,1.851,37.71716,-89.19472,95.7,1,1,10,3.75
16,Valid,8/8,23/02/19,04:30:10,23/02/19,04:30:11.877,1.877,37.71719,-89.19481,86.98,1,3.6,10,3.75
17,Valid,7/7,23/02/19,05:00:07,23/02/19,05:00:08.900,1.9,37.71714,-89.1947,95.44,1.6,2.4,9.5,3.75
18,Valid,4/4,23/02/19,05:30:13,23/02/19,05:30:14.814,1.814,37.71813,-89.19583,95.45,19.4,0.3,9.5,3.75
19,Valid,7/7,23/02/19,06:00:11,23/02/19,06:00:12.973,1.973,37.71725,-89.19463,114.79,2.1,1.2,9,3.75
20,Valid,7/7,23/02/19,06:30:08,23/02/19,06:30:09.995,1.995,37.71709,-89.19462,76.3,2,3.2,8.5,3.75
21,Valid,8/8,23/02/19,07:00:09,23/02/19,07:00:11.017,2.017,37.71716,-89.19467,83.94,1.8,4,8.5,3.75
22,Valid,8/8,23/02/19,07:30:07,23/02/19,07:30:09.039,2.039,37.71716,-89.19476,93.7,1.1,2.1,8,3.75
23,Valid,7/7,23/02/19,08:00:05,23/02/19,08:00:07.065,2.065,37.71712,-89.19472,96.51,1.1,1.3,8,3.75
24,Valid,4/5,23/02/19,08:30:16,23/02/19,08:30:19.149,3.149,37.7122,-89.19843,96.54,41.9,0.1,8,3.75
25,Valid,4/5,23/02/19,09:00:11,23/02/19,09:00:13.587,2.587,37.71711,-89.19531,96.51,5.1,0.2,8,3.75
26,Valid,6/7,23/02/19,09:30:05,23/02/19,09:30:07.146,2.146,37.7172,-89.19485,98.71,1.7,1.5,7.5,3.75
27,Valid,5/6,23/02/19,10:00:11,23/02/19,10:00:13.604,2.604,37.71718,-89.19473,99.33,4.1,2.2,7,3.75
28,Valid,6/7,23/02/19,10:30:10,23/02/19,10:30:12.213,2.213,37.71714,-89.19489,99.53,2.4,1,7,3.75
29,Valid,6/7,23/02/19,11:00:12,23/02/19,11:00:14.291,2.291,37.71717,-89.1945,42.24,1.8,7,7,3.75
30,Valid,7/7,23/02/19,11:30:05,23/02/19,11:30:07.290,2.29,37.71723,-89.19477,113.87,1,1.2,6.5,3.75
31,Valid,6/7,23/02/19,12:00:07,23/02/19,12:00:09.326,2.326,37.71721,-89.1947,99.25,1.1,2,6.5,3.75
32,6(FIX),0/0,23/02/19,12:16:58,23/02/19,12:17:04.000,6,37.71715,-89.19478,103.56,0.8,0,6.5,3.75
33,Valid,7/7,23/02/19,12:30:05,23/02/19,12:30:01.367,-3.633,37.7173,-89.19477,93.38,1.1,0.8,6.5,3.75
34,Valid,6/6,23/02/19,13:00:14,23/02/19,13:00:10.794,-3.206,37.71705,-89.19483,81.38,1.4,4.2,6,3.75
35,Valid,4/5,23/02/19,13:30:13,23/02/19,13:30:14.177,1.177,37.71312,-89.19693,81.4,29.1,0.1,6,3.75
36,Valid,4/5,23/02/19,14:00:40,23/02/19,14:00:40.901,0.901,37.71666,-89.19588,81.38,2.6,0.3,6.5,3.75
37,Valid,5/6,23/02/19,14:30:14,23/02/19,14:30:15.232,1.232,37.70103,-89.22732,82.28,6.2,0.4,8,3.75
38,Valid,6/7,23/02/19,15:00:40,23/02/19,15:00:41.025,1.025,37.62688,-89.155,171.36,3.1,1.4,9.5,3.75
39,Valid,7/7,23/02/19,15:30:10,23/02/19,15:30:11.523,1.523,37.62533,-89.15242,151.04,1.2,2.8,10,3.75
40,Valid,5/5,23/02/19,16:00:13,23/02/19,16:00:15.225,2.225,37.6264,-89.15326,173.5,2.7,1,11,3.75
41,Valid,5/5,23/02/19,16:30:11,23/02/19,16:30:13.015,2.015,37.6299,-89.15833,172.48,1.9,1.3,12,3.75
42,Valid,4/4,23/02/19,17:00:12,23/02/19,17:00:14.043,2.043,37.62976,-89.15793,172.48,7.6,0.4,15,3.75
43,Valid,7/7,23/02/19,17:30:23,23/02/19,17:30:24.584,1.584,37.63084,-89.15728,151.08,1.8,1.6,18.5,3.75
44,Valid,4/4,23/02/19,18:00:11,23/02/19,18:00:13.229,2.229,37.63132,-89.15556,151.09,5.3,0.2,17,3.75
45,Valid,4/4,23/02/19,18:30:14,23/02/19,18:30:16.208,2.208,37.63149,-89.15545,151.09,1.2,0.1,17.5,3.75
46,Valid,6/6,23/02/19,19:00:11,23/02/19,19:00:13.000,2,37.63146,-89.15543,150.26,1,5.1,18.5,3.75
47,Valid,4/4,23/02/19,19:30:11,23/02/19,19:30:12.996,1.996,37.6313,-89.1554,150.26,2.9,0.3,18,3.75
48,Valid,4/4,23/02/19,20:00:13,23/02/19,20:00:15.204,2.204,37.63184,-89.15432,150.26,1.9,0,17.5,3.75
49,Valid,8/8,23/02/19,20:30:11,23/02/19,20:30:12.703,1.703,37.63649,-89.17549,159.3,1.2,1.6,17.5,3.75
50,Valid,6/6,23/02/19,21:00:11,23/02/19,21:00:13.199,2.199,37.6437,-89.16005,158.79,1.3,0.9,17.5,3.75
51,Valid,6/6,23/02/19,21:30:08,23/02/19,21:30:09.731,1.731,37.71159,-89.2405,137.14,1.7,1.5,15.5,3.75
52,Valid,6/6,23/02/19,22:00:11,23/02/19,22:00:13.210,2.21,37.71609,-89.22354,99.34,1.8,1.7,16,3.75
53,Valid,6/6,23/02/19,22:30:13,23/02/19,22:30:14.592,1.592,37.72822,-89.19963,100.44,1.5,1.4,17.5,3.75
54,Valid,6/6,23/02/19,23:00:11,23/02/19,23:00:12.794,1.794,37.71751,-89.19476,98.26,5.2,2.1,18,3.75
55,Valid,6/6,23/02/19,23:30:06,23/02/19,23:30:07.796,1.796,37.72222,-89.20443,95.32,1.4,1.1,18.5,3.75
56,Valid,7/7,23/02/20,00:00:06,23/02/20,00:00:07.812,1.812,37.72224,-89.20437,95.27,1.2,2.6,18.5,3.75
57,Valid,5/5,23/02/20,00:30:11,23/02/20,00:30:13.239,2.239,37.72239,-89.20409,96.15,2.8,4.5,18,3.75
58,Valid,4/4,23/02/20,01:00:11,23/02/20,01:00:13.195,2.195,37.72214,-89.20432,96.15,2.9,0.1,17.5,3.75
59,Valid,6/6,23/02/20,01:30:06,23/02/20,01:30:07.884,1.884,37.73309,-89.18422,93.3,2.4,1.4,17,3.75
60,Valid,6/6,23/02/20,02:00:05,23/02/20,02:00:06.881,1.881,37.71745,-89.19472,91.35,1.9,0.5,16.5,3.75
61,Valid,6/6,23/02/20,02:30:11,23/02/20,02:30:12.893,1.893,37.7175,-89.19467,87.17,1.6,0.6,16.5,3.75
62,Valid,7/7,23/02/20,03:00:06,23/02/20,03:00:07.913,1.913,37.71758,-89.19475,88.78,1.7,0.7,16,3.75
63,Valid,7/7,23/02/20,03:30:06,23/02/20,03:30:07.928,1.928,37.71746,-89.1947,100.28,1.1,2,15.5,3.75
64,Valid,7/7,23/02/20,04:00:08,23/02/20,04:00:09.948,1.948,37.71752,-89.19468,88.24,1,2.1,15.5,3.75
65,Valid,4/4,23/02/20,04:30:12,23/02/20,04:30:14.164,2.164,37.71731,-89.19482,88.24,11.3,0,15,3.75
66,Valid,5/5,23/02/20,05:00:14,23/02/20,05:00:16.391,2.391,37.7174,-89.19475,93.7,2.5,0.5,14.5,3.75
67,Valid,4/4,23/02/20,05:30:11,23/02/20,05:30:13.410,2.41,37.71742,-89.19469,93.7,3.9,0.3,14,3.75
68,Valid,7/7,23/02/20,06:00:07,23/02/20,06:00:08.994,1.994,37.71766,-89.19486,107.19,3,2.2,14,3.75
69,Valid,8/8,23/02/20,06:30:07,23/02/20,06:30:09.038,2.038,37.71754,-89.19467,87.44,1,2.4,13.5,3.75
70,Valid,5/5,23/02/20,07:00:12,23/02/20,07:00:14.385,2.385,37.71755,-89.19478,102.78,4.9,0.5,13.5,3.75
71,Valid,6/6,23/02/20,07:30:06,23/02/20,07:30:08.083,2.083,37.7175,-89.19468,94.73,2.2,0.8,13,3.75
