Index,Status,Sats,RTC.date,RTC.time,FIX.date,FIX.time,Delta.s.,Latitude,Longitude,Altitude.m.,HDOP,eRes,Temperature.C.,Voltage.V.
1,NotEnoughSats,0/0,23/02/21,19:30:13,0.250,23.5,3.8,NA,NA,NA,NA,NA,NA,NA
2,NotEnoughSats,0/1,23/02/21,20:00:22,0.470,24.0,3.8,NA,NA,NA,NA,NA,NA,NA
3,NotEnoughSats,0/0,23/02/21,20:30:13,0.690,25.5,3.8,NA,NA,NA,NA,NA,NA,NA
4,NotEnoughSats,0/0,23/02/21,21:00:13,0.900,26.0,3.8,NA,NA,NA,NA,NA,NA,NA
5,NotEnoughSats,0/0,23/02/21,21:30:13,1.120,26.5,3.8,NA,NA,NA,NA,NA,NA,NA
6,NotEnoughSats,0/1,23/02/21,22:00:22,1.340,25.5,3.8,NA,NA,NA,NA,NA,NA,NA
7,NotEnoughSats,0/1,23/02/21,22:30:22,1.550,25.0,3.8,NA,NA,NA,NA,NA,NA,NA
8,Valid,7/7,23/02/21,23:00:08,23/02/21,23:00:09.804,1.804,37.71591,-89.22354,99.61,1.4,2.1,23.5,3.8
9,Valid,6/6,23/02/21,23:30:05,23/02/21,23:30:06.812,1.812,37.72317,-89.23929,97.94,1.5,0.9,16,3.8
10,Valid,5/5,23/02/22,00:00:11,23/02/22,00:00:13.200,2.2,37.72324,-89.23934,97.52,5.3,1,12.5,3.8
11,Valid,5/5,23/02/22,00:30:11,23/02/22,00:30:13.203,2.203,37.72319,-89.23931,105.58,5.9,0.8,11,3.8
12,Valid,5/5,23/02/22,01:00:11,23/02/22,01:00:13.196,2.196,37.72324,-89.23935,105.69,2.1,3.1,9.5,3.8
13,Valid,6/7,23/02/22,01:30:15,23/02/22,01:30:16.702,1.702,37.72311,-89.23927,107.04,2.2,4.1,9.5,3.8
14,Valid,8/8,23/02/22,02:00:05,23/02/22,02:00:06.824,1.824,37.72326,-89.23928,97.37,1.4,2.7,9.5,3.8
15,Valid,6/6,23/02/22,02:30:12,23/02/22,02:30:14.416,2.416,37.72338,-89.23936,75.14,1.6,1.7,10,3.8
16,Valid,4/4,23/02/22,03:00:11,23/02/22,03:00:13.212,2.212,37.72302,-89.23917,75.14,3.7,0,10.5,3.8
17,Valid,6/6,23/02/22,03:30:06,23/02/22,03:30:07.880,1.88,37.72342,-89.23902,112.76,3.2,1.6,10.5,3.8
18,Valid,6/6,23/02/22,04:00:05,23/02/22,04:00:06.829,1.829,37.72313,-89.23932,103.8,4,1,11.5,3.8
19,Valid,7/7,23/02/22,04:30:05,23/02/22,04:30:06.844,1.844,37.72319,-89.23928,88.96,1.9,0.9,12.5,3.8
20,Valid,7/7,23/02/22,05:00:05,23/02/22,05:00:06.839,1.839,37.72321,-89.23929,99.6,1.6,4.2,13.5,3.8
21,Valid,4/4,23/02/22,05:30:11,23/02/22,05:30:13.147,2.147,37.72278,-89.23919,99.6,14.3,0.2,13.5,3.8
22,Valid,7/7,23/02/22,06:00:07,23/02/22,06:00:08.859,1.859,37.72323,-89.23915,93.84,2.4,0.9,13,3.8
23,Valid,7/7,23/02/22,06:30:08,23/02/22,06:30:09.845,1.845,37.72322,-89.23924,105.07,1.7,3.6,13.5,3.8
24,Valid,6/6,23/02/22,07:00:11,23/02/22,07:00:13.233,2.233,37.72328,-89.23899,84.82,3.5,1.5,14.5,3.8
25,Valid,7/7,23/02/22,07:30:05,23/02/22,07:30:06.840,1.84,37.72324,-89.2393,94.29,1.3,2,15,3.8
26,Valid,7/7,23/02/22,08:00:05,23/02/22,08:00:06.848,1.848,37.72329,-89.23929,100.68,1.1,2.6,15.5,3.8
27,Valid,6/7,23/02/22,08:30:06,23/02/22,08:30:07.839,1.839,37.72331,-89.23933,67.33,1.6,2.5,16,3.8
28,Valid,6/7,23/02/22,09:00:07,23/02/22,09:00:08.872,1.872,37.72314,-89.23913,67.66,1.4,1.8,16.5,3.8
29,Valid,5/6,23/02/22,09:30:11,23/02/22,09:30:12.852,1.852,37.72326,-89.23916,89.45,7.3,0.5,17,3.8
30,Valid,6/7,23/02/22,10:00:05,23/02/22,10:00:06.825,1.825,37.72324,-89.2393,90.04,1.7,2.8,17.5,3.8
31,Valid,6/7,23/02/22,10:30:10,23/02/22,10:30:11.829,1.829,37.7232,-89.23924,94.56,1.4,0.6,17.5,3.8
32,Valid,7/7,23/02/22,11:00:06,23/02/22,11:00:07.832,1.832,37.72322,-89.23932,94.05,1.4,1.3,17.5,3.8
33,4(FIX),0/0,23/02/22,11:13:22,23/02/22,11:13:27.000,5,37.72331,-89.23932,98.35,4,0,18.5,3.8
