Index         Status  Sats  RTC-date  RTC-time  FIX-date      FIX-time   Delta(s)     Latitude    Longitude  Altitude(m)    HDOP        eRes  Temperature(C)  Voltage(V)
    1  NotEnoughSats   0/0  23/02/13  20:30:13                              0.070                                                                       24.5        3.75
    2  NotEnoughSats   0/0  23/02/13  21:00:13                              0.550                                                                       24.0        3.75
    3  NotEnoughSats   0/0  23/02/13  21:30:13                              1.030                                                                       23.5        3.75
    4  NotEnoughSats   0/0  23/02/13  22:00:13                              1.510                                                                       23.5        3.75
    5          Valid   6/6  23/02/13  22:30:28  23/02/13  22:30:29.997      1.997     37.72060    -89.21055        77.85     1.7         1.0            23.0        3.75
    6          Valid   6/6  23/02/13  23:00:29  23/02/13  23:00:30.821      1.821     37.72362    -89.23938        78.00     1.7         4.3            23.5        3.75
    7          Valid   6/6  23/02/13  23:30:05  23/02/13  23:30:06.453      1.453     37.72321    -89.23926        93.38     1.3         2.1            22.5        3.75
    8          Valid   6/6  23/02/14  00:00:11  23/02/14  00:00:12.484      1.484     37.72313    -89.23931        87.33     1.5         0.8             9.0        3.75
    9          Valid   7/7  23/02/14  00:30:07  23/02/14  00:30:08.528      1.528     37.72332    -89.23928        85.43     1.2         2.8             4.0        3.75
   10          Valid   6/6  23/02/14  01:00:05  23/02/14  01:00:06.580      1.580     37.72323    -89.23932        88.44     1.2         3.1             2.5        3.75
   11          Valid   7/7  23/02/14  01:30:08  23/02/14  01:30:09.641      1.641     37.72323    -89.23913        93.23     3.1         1.5             1.5        3.75
   12          Valid   7/7  23/02/14  02:00:05  23/02/14  02:00:06.672      1.672     37.72313    -89.23929        91.31     1.6         3.5             1.0        3.75
   13          Valid   7/7  23/02/14  02:30:05  23/02/14  02:30:06.725      1.725     37.72311    -89.23939        83.61     1.3         3.8             1.0        3.75
   14          Valid   6/6  23/02/14  03:00:08  23/02/14  03:00:09.789      1.789     37.72318    -89.23923        84.77     1.6         1.4             0.5        3.75
