ID.1,ID,Lowtag,Name,Recap,PIT_tag,Species,Year,Capture_date,Collar_start,Fate_date,Field_crew,Study_area,Latitude,Longitude,Trap.type,Sex,Age,Collar.ID,Frequency,Collar_model,DOP_type,Left_eartag,Left_color,Right_eartag,Right_color,Parasites,Body_condition,Hind_foot,Chest_girth,Body_length,biopsy,blood,Cannon_foot,Weight,Head_circ,Neck_circ,Tail_length,Ear_length_R,Ear_length_L,Left_upper_canine,Left_lower_canine,Right_upper_canine,Right_lower_canine,Samples,Nursed,Pelage,Handling_time,VIT,VIT_frequency,Mortality,Mortality_cause,Mortality_date,Censor,Censor_cause,Censor_date,Comments,data_comments
D1001,1001,182,NA,New,NA,WTD,2018,1/17/2018,NA,NA,NA,Touch of Nature,37.631335,-89.155151,dart,Female,adult,30297,150.263,420,HDOP,182,NA,592,metal,none,4,NA,NA,83,y,NA,44.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
D1016,1016,126,NA,New,NA,WTD,2018,2/27/2018,2/27/2018,2/25/2020,NA,Touch of Nature,37.63032,-89.16304,dart,Female,adult,81439,150.28,420,HDOP,126,white,NA,NA,ticks around anus,4,NA,NA,83,y,y,44.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,unknown,2/25/2020,NA,
D1089,1089,184,NA,New,NA,WTD,2021,2/27/2018,NA,NA,NA,Touch of Nature,39.57706,-88.70721,dart,Male,juvenile,NA,NA,330,HDOP,184,NA,NA,NA,none found,3,NA,NA,NA,y,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
B101,101,NA,kovu,New,NA,Bobcat,2018,3/2/2018,3/2/2018,1/20/2019,NA,Touch of Nature,NA,NA,NA,F,J,81460,NA,250,HDOP,NA,NA,NA,NA,NA,3,16.6,NA,62.5,NA,NA,NA,6.8,NA,NA,14.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,uncertain sex,
C102,102,NA,rocky,New,NA,Coyote,2018,3/6/2018,3/6/2018,8/28/2018,NA,Shelbyville,39.55515,-88.68489,NA,M,A,81459,NA,250,HDOP,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,15.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,hunt/trap,8/28/2018,NA,NA,NA,NA,
D1007,1007,2,NA,New,NA,WTD,2018,3/7/2018,3/7/2018,2/15/2019,NA,Touch of Nature,37.627028,89.151167,dart,Female,adult,81430,151.1,420,HDOP,2,yellow,"17,266","orange, metal",very few ticks,4,NA,NA,177,n,y,37.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,unknown,2/15/2019,NA,
C103,103,NA,danny,New,NA,Coyote,2018,3/9/2018,3/9/2018,12/12/2018,NA,Shelbyville,39.55647,-88.68463,NA,M,A,81458,NA,250,HDOP,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
D1009,1009,130,NA,New,NA,WTD,2018,3/10/2018,3/10/2018,1/19/2020,NA,Touch of Nature,37.62479,89.16054,dart,Female,adult,81432,151.14,420,HDOP,130,NA,484,metal,fleas & ticks,4,NA,NA,112.2,y,y,31.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,unknown,1/19/2020,NA,
D1008,1008,7,NA,New,NA,WTD,2018,3/13/2018,3/13/2018,5/5/2020,NA,Touch of Nature,37.62359,89.15363,dart,Female,adult,81431,151.12,420,HDOP,7,red,"11, 248","red, metal",a few ticks,4,NA,NA,106,n,n,26.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,unknown,5/5/2020,NA,
D1005,1005,187,NA,New,NA,WTD,2018,4/1/2018,4/1/2018,3/24/2020,NA,Touch of Nature,37.63546,-89.15378,dart,Female,adult,81428,151.06,420,HDOP,187,white,596,metal,none observed,4,NA,NA,119,y,y,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,unknown,3/24/2020,NA,
D1012,1012,172,NA,New,NA,WTD,2018,4/5/2018,4/5/2018,10/23/2018,NA,Touch of Nature,37.62557,89.15493,dart,Female,adult,81435,151.2,420,HDOP,172,NA,NA,NA,"some ticks on anus, not many",2,NA,NA,116,y,y,31.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,unknown,10/23/2018,NA,
D1003,1003,166,NA,New,NA,WTD,2018,4/7/2018,4/7/2018,5/23/2018,NA,Touch of Nature,37.7115,-89.24043,dart,Female,adult,81426,151.02,420,HDOP,166,white,NA,NA,lone star ticks around rectum and various locations on body,3,NA,NA,114,y,n,34.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,unknown,5/23/2018,NA,
D1011,1011,106,NA,New,NA,WTD,2018,4/11/2018,4/11/2018,10/15/2018,NA,Touch of Nature,NA,NA,drop net,Female,adult,81434,151.18,420,HDOP,106,white,NA,NA,few ticks,3,NA,NA,107,NA,n,33.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,unknown,10/15/2018,NA,
B118,118,NA,rhia,New,NA,Bobcat,2019,2/22/2019,2/22/2019,9/18/2019,NA,Shelbyville,39.517969,-88.574044,NA,F,J,81446,NA,250,HDOP,NA,NA,NA,NA,NA,5,17.5,NA,76,NA,NA,NA,7.3,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
C104,104,NA,odin,New,NA,Coyote,2019,2/27/2019,2/27/2019,4/15/2019,NA,Touch of Nature,37.6293,-89.15914,NA,M,A,81454,NA,250,HDOP,NA,NA,NA,NA,NA,4,20,NA,92,NA,NA,NA,15.2,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
